"var","estimate","conf.low","conf.high","p.value","sequence","Group"
"Total",0.238221210163345,0.137448084905441,0.338994335421249,3.60005482630942e-06,1,"plastisphere"
"A",0,0,0,1,2,"b"
"Marine",0.133729054963953,0.0806245525271086,0.186833557400797,7.98927816742573e-07,3,"plastisphere"
"Freshwater",0.378743440144783,0.243952306654316,0.513534573635249,3.6455876805329e-08,4,"plastisphere"
"B",0,0,0,1,5,"b"
"Insitu",0.259974388330244,0.169731677014564,0.350217099645924,1.63905813707153e-08,6,"plastisphere"
"Nature",0.298807491178263,0.0876597463592184,0.509955235997309,0.00554296828420751,7,"plastisphere"
"C",0,0,0,1,8,"b"
"PE",0.0776385057415395,-0.173279630910141,0.32855664239322,0.544217638822366,9,"none"
"PHA",0.319954872044566,0.22777766530782,0.412132078781312,1.02320031477801e-11,10,"plastisphere"
"PP",0.164423926654111,0.0798027241459052,0.249045129162316,0.000139911754747838,11,"plastisphere"
"PS",0.325122833813897,0.166523503239914,0.48372216438788,5.87304241506729e-05,12,"plastisphere"
"PET",0.0540781052193663,-0.13257146609894,0.240727676537673,0.570128895829687,13,"none"
"PLA",0.126167628196268,-0.0283497156656645,0.280684972058201,0.109517838195113,14,"none"
"PBAT",0.722817643404516,0.420550649615712,1.02508463719332,2.77368246620229e-06,15,"plastisphere"
"PVC",0.418934787143729,0.190766403708933,0.647103170578525,0.000319879040620887,16,"plastisphere"
"PA",-0.256216989555387,-0.790731656667088,0.278297677556313,0.347474531959629,17,"none"
"PBS",0.725776841976873,0.0804590816882558,1.37109460226549,0.0275007991192573,18,"plastisphere"
"D",0,0,0,1,19,"b"
"Non-biodegradable",0.158283257604204,0.0663508382439654,0.250215676964444,0.000739395850501259,20,"plastisphere"
"Biodegradable",0.352904937808539,0.264458770216663,0.441351105400415,5.26720247207471e-15,21,"plastisphere"
"E",0,0,0,1,22,"b"
"microplastic",0.359991837835003,0.208071733892698,0.511911941777309,3.41138989415027e-06,23,"plastisphere"
"macroplastic",0.189884313938471,0.102775330490424,0.276993297386517,1.93360410844575e-05,24,"plastisphere"
"F",0,0,0,1,25,"b"
"≤15°C",0.108309688077497,0.0452485228850541,0.171370853269941,0.00076182545889534,26,"plastisphere"
"15-25°C",-0.186827884124573,-0.376677620056091,0.00302185180694456,0.0537597821693525,27,"none"
">25°C",0.448366939960149,0.359779494371007,0.536954385549291,3.40926017939544e-23,28,"plastisphere"
"G",0,0,0,1,29,"b"
"pH (≤7)",0.457331329421672,0.212766167291461,0.701896491551884,0.000247253180787433,30,"plastisphere"
"7-8",0.321039263026756,0.066682552041228,0.575395974012283,0.0133687804877678,31,"plastisphere"
">8",0.751308543804699,0.576590213935087,0.926026873674312,3.5142361619015e-17,32,"plastisphere"
"H",0,0,0,1,33,"b"
"DO (≤2)",0.332419376960937,0.247393305700562,0.417445448221312,1.82052110859767e-14,34,"plastisphere"
"2-6",0.530281683036828,0.459404652514105,0.601158713559551,1.09797552784044e-48,35,"plastisphere"
">6",0.33239527279992,0.0385305146365372,0.626260030963302,0.0266266741151286,36,"plastisphere"
"I",0,0,0,1,37,"b"
"Sampling depth (≤2)",0.552982877349739,0.456202671127732,0.649763083571747,4.13084108940851e-29,38,"plastisphere"
">2",-0.00117164335644821,-0.0784726301414726,0.0761293434285762,0.97630074604299,39,"none"
