"var","Treatment","Mean","n","sd","se"
"Total","Plastisphere",5571.17202063667,128,2569.08404583743,227.077093781227
"Total","environment",4986.74876190826,128,2360.9641245484,208.681717825792
"Marine","Plastisphere",5603.45479210309,43,2652.19923869308,404.456592137917
"Marine","environment",5970.58958803093,43,1946.34853589992,296.815369093696
"Freshwater","Plastisphere",5348.82593397674,72,2573.56878860878,303.297990379219
"Freshwater","environment",3752.77932803884,72,1904.69278573408,224.470197478277
"Insitu","Plastisphere",4981.85263873365,90,2654.97063822259,279.85847792181
"Insitu","environment",3957.79964465,90,1802.58588454414,190.009235774293
"Nature","Plastisphere",7121.59195723729,27,1318.53990946439,253.753123888844
"Nature","environment",6765.28213669355,27,1770.49996284836,340.732876716908
"PE","Plastisphere",4296.11559828,31,2234.57010308166,401.340638263984
"PE","environment",5088.45943172932,31,2324.16991761939,417.433240015575
"PHA","Plastisphere",6903.97655066667,11,2088.77872870171,629.790483016284
"PHA","environment",4525.38361748387,11,1690.41584013512,509.67955285469
"PP","Plastisphere",5496.049036,11,2949.66765672224,889.358261235863
"PP","environment",6219.5405668,11,2314.83776899891,697.949848210252
"PS","Plastisphere",6329.40514438462,6,1012.11991655685,413.196225678762
"PS","environment",3987.04592936842,6,1727.39695796783,705.206855042844
"PET","Plastisphere",3433.46215176667,11,2123.33256607975,640.208856984459
"PET","environment",3690.19602351613,11,1774.18704927379,534.937522758995
"PVC","Plastisphere",7422.5827606875,7,1149.62568549616,434.517666376429
"PVC","environment",4573.21274625,7,2302.27574286566,870.178437874147
"PLA","Plastisphere",4816.32326,12,2613.37801698393,754.417250799961
"PLA","environment",4331.0040115,12,2069.0056501983,597.270484548422
"PBAT","Plastisphere",8752.27555325,6,1035.720451055,422.831103541663
"PBAT","environment",3902.50374858824,6,1803.97264758264,736.468749419184
"PA","Plastisphere",2713.95294508333,4,1451.86774578033,725.933872890166
"PA","environment",4050.41576741667,4,1931.15226188214,965.576130941068
"PBS","Plastisphere",7189.50058816667,3,1178.19175883289,680.229329119167
"PBS","environment",3259.1052764,3,2111.61858961708,1219.14356114124
"Non-biodegradable","Plastisphere",4829.52949217977,73,2566.47380393361,300.383038261207
"Non-biodegradable","environment",5240.96490130272,73,2524.64023660871,295.486789550194
"Biodegradable","Plastisphere",6439.06463275343,33,2546.67667235686,443.319505600939
"Biodegradable","environment",4246.56297706383,33,1919.01870485344,334.058277876026
"microplastic","Plastisphere",6059.73449548413,58,2009.53314676678,263.864629215319
"microplastic","environment",4272.64789287568,58,1896.24407816305,248.989045734964
"macroplastic","Plastisphere",5181.10703296407,68,2908.64636822522,352.725182463582
"macroplastic","environment",5561.64594828279,68,2547.06278651724,308.876732467371
"≤15°C","Plastisphere",4474.49980704348,27,2744.57819374264,528.19431965643
"≤15°C","environment",4633.22948097101,27,2067.32844066791,397.857543907663
"15-25°C","Plastisphere",3598.97767297959,21,2816.31722123896,614.570802254058
"15-25°C","environment",4824.72893537313,21,2932.25769165064,639.871087100263
">25°C","Plastisphere",6181.58239672632,43,2204.46522479826,336.177795129678
">25°C","environment",3874.9845207047,43,1571.6300905819,239.671341905441
"pH (≤7)","Plastisphere",7342.73246051852,12,1722.34696079016,497.198740725066
"pH (≤7)","environment",6312.97559106061,12,3364.54349888675,971.260047391236
"7-8","Plastisphere",6596.53869334043,22,3115.94167193104,664.320996577996
"7-8","environment",3990.28501632075,22,1805.27294441372,384.885484966408
">8","Plastisphere",5920.94075971429,20,1881.18512873859,420.645782612119
">8","environment",2798.01223110811,20,1573.69258283442,351.888359090498
"DO (≤2)","Plastisphere",6957.0490083,20,1796.18240819365,401.638596471027
"DO (≤2)","environment",3680.61955321429,20,2396.44266591213,535.860870516034
"2-6","Plastisphere",6951.79465754687,30,1616.78077745157,295.182434116989
"2-6","environment",3935.35562092683,30,1336.91039667907,244.085327208102
">6","Plastisphere",6706.71494183871,14,2088.88247919025,558.27732559749
">6","environment",4906.44252870968,14,1184.97757670719,316.698578789138
"Sampling depth (≤2)","Plastisphere",6800.04124522826,43,1786.48382228154,272.436228820262
"Sampling depth (≤2)","environment",3696.92688575397,43,1853.45699265192,282.649541552386
">2","Plastisphere",4024.7347857381,32,2705.25236633405,478.22557326394
">2","environment",4707.76480829762,32,1888.77685872419,333.891731238026
"A","Plastisphere",10,0,0,0
"B","Plastisphere",10,0,0,0
"C","Plastisphere",10,0,0,0
"D","Plastisphere",10,0,0,0
"E","Plastisphere",10,0,0,0
"F","Plastisphere",10,0,0,0
"G","Plastisphere",10,0,0,0
"H","Plastisphere",10,0,0,0
"I","Plastisphere",10,0,0,0
"A","environment",10,0,0,0
"B","environment",10,0,0,0
"C","environment",10,0,0,0
"D","environment",10,0,0,0
"E","environment",10,0,0,0
"F","environment",10,0,0,0
"G","environment",10,0,0,0
"H","environment",10,0,0,0
"I","environment",10,0,0,0
