"var","estimate","conf.low","conf.high","p.value","sequence","Group"
"Total",0.292061315123404,0.22674860355065,0.357374026696157,1.87699269678769e-18,1,"plastisphere"
"A",0,0,0,1,2,"b"
"Marine",0.737190932334623,0.473485076746508,1.00089678792274,4.27522897876314e-08,3,"plastisphere"
"Freshwater",0.226230735950091,0.156039246390454,0.296422225509728,2.66580117119968e-10,4,"plastisphere"
"B",0,0,0,1,5,"b"
"Insitu",0.170706387284514,0.0115268194090619,0.329885955159967,0.0355626765491044,6,"plastisphere"
"Nature",0.728632127701158,0.626847604943003,0.830416650459312,1.01363916838213e-44,7,"plastisphere"
"C",0,0,0,1,8,"b"
"PE",0.142784084514672,-0.236036897489134,0.521605066518479,0.460062565402016,9,"none"
"PHA",0.730186952747964,-0.12569555523414,1.58606946073007,0.0945002307690335,10,"none"
"PP",0.446296989551153,0.0998305021594555,0.79276347694285,0.0115795110809925,11,"plastisphere"
"PS",0.252091224767377,-0.0627924928496952,0.56697494238445,0.116620437340848,12,"none"
"PET",-0.231795707952359,-0.595439619863857,0.131848203959139,0.21154440876731,13,"none"
"PLA",-0.0151987431862381,-0.57383493927547,0.543437452902993,0.957473369180812,14,"none"
"PBAT",0.0430202829535331,-0.239906506742224,0.32594707264929,0.765686918910694,15,"none"
"PVC",0.241794648082403,-0.215964321476734,0.699553617641539,0.300538069445306,16,"none"
"PA",-0.981676698660395,-2.93971740733987,0.976364010019077,0.32578418472048,17,"none"
"PBS",0.64399721912272,-0.279718480610527,1.56771291885597,0.171797751492116,18,"none"
"D",0,0,0,1,19,"b"
"Non-biodegradable",0.0871212686558543,-0.077411744557938,0.251654281869647,0.299356985197827,20,"none"
"Biodegradable",0.339393815649576,0.0249935712407086,0.653794060058444,0.0343640895519663,21,"plastisphere"
"E",0,0,0,1,22,"b"
"microplastic",0.458673951809364,0.375211631586409,0.542136272032319,4.71125586689251e-27,23,"plastisphere"
"macroplastic",0.0926536945200296,-0.118212342646449,0.303519731686508,0.389127709216277,24,"none"
"F",0,0,0,1,25,"b"
"≤15°C",0.594017350860469,0.357011882645861,0.831022819075077,8.99935455061668e-07,26,"plastisphere"
"15-25°C",-0.551494406988683,-1.20776303022617,0.1047742162488,0.0995471616721794,27,"none"
">25°C",0.208959990265134,-0.00147410520318403,0.419394085733453,0.0516266011329327,28,"none"
"G",0,0,0,1,29,"b"
"pH (≤7)",1.30656166365817,0.118727771207842,2.4943955561085,0.0310939260628762,30,"plastisphere"
"7-8",0.295504639540972,0.198509642930434,0.392499636151509,2.35486130009443e-09,31,"plastisphere"
">8",0.525437664752972,0.244376227349192,0.806499102156752,0.000248203986819942,32,"plastisphere"
"H",0,0,0,1,33,"b"
"DO (≤2)",0.966697100041007,0.808731593126335,1.12466260695568,3.8045196988464e-33,34,"plastisphere"
"2-6",0.412272602557446,0.24509496721234,0.579450237902551,1.34208328595005e-06,35,"plastisphere"
">6",0.459798790416737,0.342275192604791,0.577322388228683,1.74489053206971e-14,36,"plastisphere"
"I",0,0,0,1,37,"b"
"Sampling depth (≤2)",0.51772265525085,0.337084865937879,0.698360444563821,1.9383342036947e-08,38,"plastisphere"
">2",0.0194094959005007,-0.289878511275632,0.328697503076633,0.902108408740166,39,"none"
