"var","Treatment","Mean","n","sd","se"
"Total","Plastisphere",508.789833429521,128,1655.3407721994,146.312835649596
"Total","environment",237.995351508339,128,721.033426605854,63.7309531768965
"Marine","Plastisphere",654.225591192217,43,2397.56038094914,365.624530380839
"Marine","environment",178.235448549108,43,594.400722238331,90.6452603460131
"Freshwater","Plastisphere",405.443095281649,72,1166.45013011713,137.467466153626
"Freshwater","environment",186.203429298227,72,197.98881435128,23.3332055378124
"Insitu","Plastisphere",361.910486060339,90,1630.36553944124,171.85561744278
"Insitu","environment",221.827695611401,90,514.255908658529,54.2073323853486
"Nature","Plastisphere",961.475421818577,27,1883.80634545821,362.538700217142
"Nature","environment",90.0283297978184,27,89.8235298737142,17.2865463840504
"PE","Plastisphere",306.898758417355,31,737.395096648919,132.440069046692
"PE","environment",187.749458203656,31,535.619475017835,96.200097582001
"PHA","Plastisphere",726.459422734036,11,728.600425926019,219.681294080885
"PHA","environment",201.84640339915,11,187.281714230697,56.467561472526
"PP","Plastisphere",210.572596441253,11,221.171598692961,66.6857461043283
"PP","environment",142.008519980237,11,519.407417063634,156.60722870252
"PS","Plastisphere",248.712820013396,6,258.334171206474,105.464483763442
"PS","environment",140.345559649078,6,98.2685666283405,40.1179743323542
"PET","Plastisphere",897.045005974771,11,4253.28476806518,1282.41360929145
"PET","environment",338.586025537508,11,751.139581838341,226.477105285657
"PVC","Plastisphere",274.363314503512,7,137.405874427301,51.9345389162869
"PVC","environment",241.946073530962,7,257.009237496327,97.1403610088025
"PLA","Plastisphere",220.181962757225,12,195.548496750962,56.4499886193973
"PLA","environment",253.465005818568,12,277.124252216671,79.9988808081345
"PBAT","Plastisphere",213.502417695639,6,170.222338159978,69.4929785525726
"PBAT","environment",163.822468279635,6,86.9573186526691,35.5001766832736
"PA","Plastisphere",76.7400150186408,4,70.8793929499351,35.4396964749676
"PA","environment",268.795152126614,4,340.772176620649,170.386088310324
"PBS","Plastisphere",487.579181779333,3,621.069530588224,358.574660670586
"PBS","environment",129.106583909307,3,80.6587885697616,46.568373293261
"Non-biodegradable","Plastisphere",368.384559033694,73,1807.02408268884,211.496171648937
"Non-biodegradable","environment",258.348160029014,73,869.269417189592,101.740289810382
"Biodegradable","Plastisphere",420.118243414057,33,525.145476189679,91.416093530838
"Biodegradable","environment",207.363243311876,33,205.848863210788,35.8336875888791
"microplastic","Plastisphere",551.155226916666,58,1355.71848331513,178.014558006103
"microplastic","environment",125.088897965583,58,152.098800766423,19.9715509708807
"macroplastic","Plastisphere",485.633321494953,68,1880.86679079058,228.088601357238
"macroplastic","environment",326.008958554644,68,946.272253166495,114.752366188138
"≤15°C","Plastisphere",397.326889059652,27,531.807300393052,102.346362679646
"≤15°C","environment",240.745599972713,27,287.598046941342,55.3482699399982
"15-25°C","Plastisphere",893.753354318427,21,3400.21061577928,741.98678693338
"15-25°C","environment",756.312223293258,21,1709.73046295027,373.093774497214
">25°C","Plastisphere",183.749685269846,43,233.018731804813,35.5350234609506
">25°C","environment",112.471498673224,43,89.2026646360171,13.6032788268514
"pH (≤7)","Plastisphere",1668.89191501522,12,2553.25491481889,737.061206190209
"pH (≤7)","environment",728.86909928328,12,2073.15450476797,598.468155699736
"7-8","Plastisphere",918.116299860238,22,3395.20975147877,723.861151192827
"7-8","environment",549.973433140127,22,1057.53077742869,225.466319315902
">8","Plastisphere",235.839100646796,20,320.131454415917,71.5835693809866
">8","environment",101.258264244525,20,41.0778020793575,9.18527578157257
"DO (≤2)","Plastisphere",639.321634125091,20,589.149662484993,131.73786942375
"DO (≤2)","environment",157.515829482799,20,101.624368518887,22.7238996178721
"2-6","Plastisphere",872.831727599303,30,1847.05451708283,337.224474649358
"2-6","environment",191.66532742122,30,139.067742303647,25.3901798270076
">6","Plastisphere",706.126658576447,14,902.302097626218,241.150379191769
">6","environment",278.951129025979,14,128.483513448494,34.3386633695161
"Sampling depth (≤2)","Plastisphere",603.390076121348,43,1511.41211277187,230.488186381091
"Sampling depth (≤2)","environment",136.108010592533,43,71.6595029177371,10.9279717457
">2","Plastisphere",330.605254702994,32,502.503790771797,88.830959506671
">2","environment",269.289161271076,32,277.402316269259,49.038264737712
"A","Plastisphere",10,0,0,0
"B","Plastisphere",10,0,0,0
"C","Plastisphere",10,0,0,0
"D","Plastisphere",10,0,0,0
"E","Plastisphere",10,0,0,0
"F","Plastisphere",10,0,0,0
"G","Plastisphere",10,0,0,0
"H","Plastisphere",10,0,0,0
"I","Plastisphere",10,0,0,0
"A","environment",10,0,0,0
"B","environment",10,0,0,0
"C","environment",10,0,0,0
"D","environment",10,0,0,0
"E","environment",10,0,0,0
"F","environment",10,0,0,0
"G","environment",10,0,0,0
"H","environment",10,0,0,0
"I","environment",10,0,0,0
