"var","estimate","conf.low","conf.high","p.value","sequence","Group"
"Total",0.0448804548614721,-0.0774739049801731,0.167234814703117,0.472184780091828,1,"none"
"A",0,0,0,1,2,"b"
"Freshwater",0.139530398163952,0.00960856753899689,0.269452228788908,0.0352986105492353,3,"plastisphere"
"Marine",-0.0433196785942361,-0.361214368221188,0.274575011032716,0.789403458092843,4,"none"
"B",0,0,0,1,5,"b"
"Non-biodegradable",0.0308085981438522,-0.118192654423988,0.179809850711692,0.685288895779351,6,"none"
"Biodegradable",0.061156711075683,-0.0813706694818171,0.203684091633183,0.400350198154042,7,"none"
"C",0,0,0,1,8,"b"
"microplastic",-0.102341393011659,-0.307018323732834,0.102335537709516,0.327081169094229,9,"none"
"macroplastic",0.216088746970549,0.113853143859171,0.318324350081927,3.43318017928144e-05,10,"plastisphere"
"D",0,0,0,1,11,"b"
">25°C",0.0764020483440154,-0.104780355443495,0.257584452131525,0.408526757379711,12,"none"
"15-25°C",-0.104846562492507,-0.54020176444556,0.330508639460547,0.636913949375013,13,"none"
"≤15°C",0.153643701556812,0.00844181286548051,0.298845590248143,0.0380873678636099,14,"plastisphere"
"E",0,0,0,1,15,"b"
">8",-0.124371551247619,-0.37394693373255,0.125203831237312,0.328710780027037,16,"none"
"7-8",-0.00458647929517971,-0.154870731522024,0.145697772931664,0.952302545778557,17,"none"
"F",0,0,0,1,18,"b"
"Sampling depth (≤2)",-0.124371551247619,-0.37394693373255,0.125203831237312,0.328710780027037,19,"none"
">2",0.186139258629653,0.0542139587347713,0.318064558524535,0.00568530088700791,20,"plastisphere"
