"var","Treatment","Mean","n","sd","se"
"Total","Biofilm",3581.79328032374,50,2292.53178033107,324.212953591553
"Total","Plastisphere",3807.94453796212,50,2147.98439447274,303.770866242911
"Freshwater","Biofilm",2775.44613735616,26,1906.57622213613,373.910360031697
"Freshwater","Plastisphere",3258.51382164103,26,1948.00435711343,382.035085749429
"Marine","Biofilm",4075.97575503333,22,2081.96483891312,443.87639508347
"Marine","Plastisphere",4217.896587625,22,2010.10574127052,428.555983989401
"Non-biodegradable","Biofilm",3530.41078278947,41,2234.82143693685,349.020470955729
"Non-biodegradable","Plastisphere",3656.20453400935,41,2025.15390998967,316.275904526506
"Biodegradable","Biofilm",3816.09746908,9,2575.87522918876,858.625076396254
"Biodegradable","Plastisphere",4457.39175488,9,2554.99588450055,851.665294833518
"microplastic","Biofilm",4702.80848737838,26,2321.61388257366,455.3059419335
"microplastic","Plastisphere",4656.41089496774,26,2162.11478069747,424.025594515531
"macroplastic","Biofilm",2305.56058306154,24,1441.35800893668,294.215971547399
"macroplastic","Plastisphere",3056.44576461429,24,1845.82354070471,376.777152495327
"≤15°C","Biofilm",2160.945946875,15,1044.45366796728,269.676777461502
"≤15°C","Plastisphere",2710.23390193333,15,1395.29110030258,360.262612972222
"15-25°C","Biofilm",3523.95649364103,15,2641.88938560756,682.132906198682
"15-25°C","Plastisphere",3106.942214,15,2023.90574318444,522.570215843125
">25°C","Biofilm",4110.0277335,16,1915.99842069118,478.999605172796
">25°C","Plastisphere",4690.16515566667,16,1865.23380678644,466.308451696609
"7-8","Biofilm",7158.6722156,4,1781.85211287232,890.926056436158
"7-8","Plastisphere",6878.2779405,4,1176.82583456934,588.41291728467
">8","Biofilm",6135.808304,4,512.419915358559,256.209957679279
">8","Plastisphere",5247.50743775,4,1713.15783680519,856.578918402597
"Sampling depth (≤2)","Biofilm",6135.808304,4,512.419915358559,256.209957679279
"Sampling depth (≤2)","Plastisphere",5247.50743775,4,1713.15783680519,856.578918402597
">2","Biofilm",1872.09504336364,20,1073.74438851979,240.09654431892
">2","Plastisphere",2521.62934838333,20,1359.84541110164,304.070677811442
"A","Biofilm",10,0,0,0
"B","Biofilm",10,0,0,0
"C","Biofilm",10,0,0,0
"D","Biofilm",10,0,0,0
"E","Biofilm",10,0,0,0
"F","Biofilm",10,0,0,0
"A","Plastisphere",10,0,0,0
"B","Plastisphere",10,0,0,0
"C","Plastisphere",10,0,0,0
"D","Plastisphere",10,0,0,0
"E","Plastisphere",10,0,0,0
"F","Plastisphere",10,0,0,0
