"var","estimate","conf.low","conf.high","p.value","sequence","Group"
"Total",-0.168573718783089,-0.363249645722838,0.0261022081566594,0.089664258498796,1,"none"
"A",0,0,0,1,2,"b"
"Freshwater",0.129459142111851,-0.0443769485828408,0.303295232806543,0.144393556649706,3,"none"
"Marine",-0.551149407275085,-1.05623496058199,-0.0460638539681837,0.0324589272408091,4,"ckbiofilm"
"B",0,0,0,1,5,"b"
"Non-biodegradable",-0.239480860647417,-0.465526207736376,-0.0134355135584583,0.0378515330491876,6,"ckbiofilm"
"Biodegradable",0.0785857205349174,-0.29154687331429,0.448718314384124,0.677311111295774,7,"none"
"C",0,0,0,1,8,"b"
"microplastic",-0.431004855417726,-0.873440656061837,0.0114309452263842,0.0562201038209466,9,"none"
"macroplastic",0.0620479788782416,-0.0958258363530841,0.219921794109567,0.441115930831819,10,"none"
"D",0,0,0,1,11,"b"
"≤15°C",0.0982131860927584,-0.0786172483376625,0.275043620523179,0.27633855845137,12,"none"
"15-25°C",-0.475848534288462,-1.14020777639195,0.18851070781503,0.160370126335585,13,"none"
">25°C",-0.157377472245448,-0.620982640613671,0.306227696122776,0.505834272723377,14,"none"
"E",0,0,0,1,15,"b"
"Sampling depth (≤2)",0.775313610248637,0.379600848006148,1.17102637249113,0.000122971324190044,16,"plastisphere"
">2",0.0714607936540655,-0.0988077029115251,0.241729290219656,0.410743127429502,17,"none"
