"var","Treatment","Mean","n","sd","se"
"Total","Biofilm",591.603419690547,50,2387.93093734222,337.704431759967
"Total","Plastisphere",451.682621563851,50,1746.33515888473,246.969086614376
"Freshwater","Biofilm",89.1548372075156,26,68.3778505006001,13.4099997692342
"Freshwater","Plastisphere",120.243539211862,26,137.035648869015,26.8749018323445
"Marine","Biofilm",93.1875935646973,22,74.8622412311242,15.9606834584622
"Marine","Plastisphere",82.9525578757687,22,100.970605710369,21.5270054683105
"Non-biodegradable","Biofilm",396.468730842175,41,1882.52325301065,294.00073826545
"Non-biodegradable","Plastisphere",341.528032617226,41,1598.2496774986,249.604664572207
"Biodegradable","Biofilm",1481.41760083913,9,3885.39188736904,1295.13062912301
"Biodegradable","Plastisphere",923.144262255409,9,2253.58114008225,751.193713360749
"microplastic","Biofilm",1043.69450121221,26,3214.61856391795,630.438568699048
"microplastic","Plastisphere",859.447448145677,26,2494.63351400246,489.237883352349
"macroplastic","Biofilm",76.9151114966597,24,55.453781281332,11.3194557039304
"macroplastic","Plastisphere",90.5194894485202,24,81.1476737532012,16.5641995424318
"≤15°C","Biofilm",72.5209202181375,15,41.7919310260171,10.7906301913075
"≤15°C","Plastisphere",87.6200959644944,15,65.7848023750167,16.9855629354657
"15-25°C","Biofilm",84.0447707668985,15,76.0561102362207,19.6376032214799
"15-25°C","Plastisphere",74.6197411886972,15,108.795195058352,28.0907985738924
">25°C","Biofilm",101.635552351683,16,82.1374974667362,20.534374366684
">25°C","Plastisphere",145.464849036614,16,178.43865307266,44.6096632681651
"Sampling depth (≤2)","Biofilm",177.595865128933,4,73.0808047891785,36.5404023945893
"Sampling depth (≤2)","Plastisphere",335.20258060405,4,208.286774096011,104.143387048006
">2","Biofilm",60.6306070197509,20,42.0728276782097,9.40777026941116
">2","Plastisphere",71.6365061389632,20,64.1605368474569,14.3467321863794
"A","Biofilm",10,0,0,0
"B","Biofilm",10,0,0,0
"C","Biofilm",10,0,0,0
"D","Biofilm",10,0,0,0
"E","Biofilm",10,0,0,0
"A","Plastisphere",10,0,0,0
"B","Plastisphere",10,0,0,0
"C","Plastisphere",10,0,0,0
"D","Plastisphere",10,0,0,0
"E","Plastisphere",10,0,0,0
