"var","split","estimate","conf.low","conf.high","p.value","sequence","Group"
"Aeromonas caviae","All",-0.0448493685412463,-0.113611948910072,0.0239132118275797,0.2011234700992,1,"none"
"Aeromonas hydrophila","All",0.0296853977893937,-0.0280979289206859,0.0874687244994734,0.313980512558125,2,"none"
"Aeromonas salmonicida","All",0.133984192607704,0.0659008631338253,0.202067522081583,0.000114740354343418,3,"plastisphere"
"Aeromonas veronii","All",0.0704877848108804,0.0175278429350191,0.123447726686742,0.0090902333335494,4,"plastisphere"
"Achromobacter piechaudii","All",0.150928008214287,0.0440180384437777,0.257837977984796,0.00565851868777799,5,"plastisphere"
"Achromobacter xylosoxidans","All",0.159494411319816,0.101054367755443,0.217934454884189,8.83787819239504e-08,6,"plastisphere"
"Bacillus cereus","All",0.00251740481747368,-0.12565146133334,0.130686270968288,0.969292008501506,7,"none"
"Burkholderia cepacia","All",0.102395008658801,0.0655272566964596,0.139262760621142,5.22364011638548e-08,8,"plastisphere"
"Ralstonia pickettii","All",0.143008055683456,0.0663707296094879,0.219645381757424,0.000254821852194473,9,"plastisphere"
"Brevundimonas diminuta","All",0.181947089481041,0.118980903133044,0.244913275829037,1.48305924479473e-08,10,"plastisphere"
"Coxiella burnetii","All",-0.0125761458781764,-0.1001257464995,0.074973454743147,0.778295565702702,11,"none"
"Citrobacter amalonaticus","All",-0.117580365011959,-0.216657570934405,-0.0185031590895125,0.0200187123568939,12,"ckenvironment"
"Citrobacter braakii","All",0.114324821511063,-0.0708315318938984,0.299481174916024,0.226209795660892,13,"none"
"Citrobacter freundii","All",0.270831420982718,0.170829497869983,0.370833344095453,1.10776157481922e-07,14,"plastisphere"
"Citrobacter werkmanii","All",-0.0433152468311955,-0.209453316450565,0.122822822788174,0.609352025337732,15,"none"
"Enterobacter asburiae","All",0.606174062619918,0.0856728496715172,1.12667527556832,0.0224558369426543,16,"plastisphere"
"Enterobacter cancerogenus","All",-0.0473592384038065,-0.124246325561993,0.0295278487543796,0.227333548422577,17,"none"
"Enterobacter cloacae","All",0.599042112837844,0.47122854428083,0.726855681394858,4.07557383210414e-20,18,"plastisphere"
"Escherichia coli","All",0.121341239518488,0.0712325370858699,0.171449941951105,2.07303700549034e-06,19,"plastisphere"
"Klebsiella oxytoca","All",0.255068684333931,0.178585462250037,0.331551906417826,6.30144740365799e-11,20,"plastisphere"
"Klebsiella pneumoniae","All",0.154500677631982,0.0697454574729423,0.239255897791021,0.000353147684273728,21,"plastisphere"
"Salmonella enterica","All",0.313352885401016,0.262326975601891,0.364378795200141,2.29149767036008e-33,22,"plastisphere"
"Shigella flexneri","All",0.0911350341144506,0.0332566981936469,0.149013370035254,0.00202764640355113,23,"plastisphere"
"Pantoea agglomerans","All",0.0898137223927931,0.0327776117815592,0.146849833004027,0.00202650932184476,24,"plastisphere"
"Legionella pneumophila","All",0.0561122577996532,-0.0686934921057148,0.180918007705021,0.378213145384049,25,"none"
"Stenotrophomonas maltophilia","All",0.11798059180516,0.067982454894672,0.167978728715647,3.74731169465039e-06,26,"plastisphere"
"Acinetobacter baumannii","All",0.070216205559024,-0.00995405369933927,0.150386464817387,0.0860500771822955,27,"none"
"Acinetobacter haemolyticus","All",0.263463155597905,0.163452029042377,0.363474282153432,2.42752520081718e-07,28,"plastisphere"
"Acinetobacter lwoffii","All",-0.0217191722960349,-0.100590525645436,0.0571521810533663,0.589387096170624,29,"none"
"Providencia rettgeri","All",0.0283228893389685,-0.379242468030584,0.43588824670852,0.891660379474223,30,"none"
"Pseudomonas aeruginosa","All",0.101323435669575,0.0700219130773642,0.132624958261786,2.23252053934557e-10,31,"plastisphere"
"Pseudomonas fluorescens","All",0.0594881584811968,0.0255854071715989,0.0933909097907946,0.000583670922340968,32,"plastisphere"
"Pseudomonas putida","All",0.126382959510824,0.0996088204104257,0.153157098611223,2.20969707598622e-20,33,"plastisphere"
"Vibrio cholerae","All",0.0905503377794674,-0.11387060608259,0.294971281641525,0.385292519079497,34,"none"
"Vibrio furnissii","All",-0.00182865773004205,-0.0997258529168659,0.0960685374567817,0.97079526163735,35,"none"
"Vibrio mimicus","All",0.181980541812579,0.0746326676254161,0.289328415999742,0.000891789434622028,36,"plastisphere"
"Vibrio parahaemolyticus","All",-0.106073293470249,-0.296399005589672,0.0842524186491747,0.274684962525381,37,"none"
"Vibrio vulnificus","All",0.0952668808739707,-0.166717817437687,0.357251579185628,0.476023948885651,38,"none"
"Yersinia enterocolitica","All",-0.0657685625753497,-0.153736290635634,0.0221991654849349,0.142823890236866,39,"none"
"Yersinia ruckeri","All",0.290981591335642,0.159667262526878,0.422295920144406,1.40475538321245e-05,40,"plastisphere"
"Aeromonas caviae","Freshwater",-0.115404282298687,-0.22221971615865,-0.00858884843872364,0.0342122322812513,1,"ckenvironment"
"Aeromonas hydrophila","Freshwater",0.0898335251342894,0.0230256137381592,0.15664143653042,0.00840200091372042,2,"plastisphere"
"Aeromonas salmonicida","Freshwater",0.0413635150052433,-0.0613764991560731,0.14410352916656,0.430060077953295,3,"none"
"Aeromonas veronii","Freshwater",-0.0298967952764348,-0.0998412667546673,0.0400476762017977,0.402165816718114,4,"none"
"Achromobacter piechaudii","Freshwater",0.172098138613475,0.0603886353790804,0.283807641847869,0.00253197467304332,5,"plastisphere"
"Achromobacter xylosoxidans","Freshwater",0.170663102519852,0.0853531943019489,0.255973010737755,8.82106491496313e-05,6,"plastisphere"
"Bacillus cereus","Freshwater",-0.0857880367837984,-0.377997013792841,0.206420940225244,0.565010583441689,7,"none"
"Burkholderia cepacia","Freshwater",0.117194048789061,0.0728719413944245,0.161516156183697,2.19016334965368e-07,8,"plastisphere"
"Ralstonia pickettii","Freshwater",0.164651560494107,0.0661086680755835,0.26319445291263,0.00105725924184866,9,"plastisphere"
"Brevundimonas diminuta","Freshwater",0.159992348780011,0.09183888190992,0.228145815650102,4.20315185841303e-06,10,"plastisphere"
"Coxiella burnetii","Freshwater",-0.246121164984969,-0.341499293765547,-0.150743036204392,4.2446792270525e-07,11,"ckenvironment"
"Citrobacter amalonaticus","Freshwater",-0.0880426098960371,-0.193120025396564,0.0170348056044901,0.100544200045578,12,"none"
"Citrobacter braakii","Freshwater",0.3459888225071,0.0564330872239487,0.635544557790251,0.0191831822660832,13,"plastisphere"
"Citrobacter freundii","Freshwater",0.0354037885093416,-0.0694384957159907,0.140246072734674,0.508065618681829,14,"none"
"Citrobacter werkmanii","Freshwater",-0.488162566039652,-0.728365173273462,-0.247959958805841,6.79863112561067e-05,15,"ckenvironment"
"Enterobacter asburiae","Freshwater",1.04202470405267,0.52361203992196,1.56043736818339,8.16225907235822e-05,16,"plastisphere"
"Enterobacter cancerogenus","Freshwater",-0.0727332476335319,-0.188094049417926,0.0426275541508627,0.216559773093965,17,"none"
"Enterobacter cloacae","Freshwater",0.763255418831057,0.708437619634455,0.818073218027659,5.64360084282775e-164,18,"plastisphere"
"Escherichia coli","Freshwater",0.0740248881167258,0.00807115368218668,0.139978622551265,0.0278199152997271,19,"plastisphere"
"Klebsiella oxytoca","Freshwater",0.131325818942722,0.0514444149370887,0.211207222948356,0.00127210218972128,20,"plastisphere"
"Klebsiella pneumoniae","Freshwater",0.154504622048122,0.0572400775531442,0.2517691665431,0.00184944774079958,21,"plastisphere"
"Salmonella enterica","Freshwater",0.332747177471698,0.278813169622086,0.38668118532131,1.16353080749492e-33,22,"plastisphere"
"Shigella flexneri","Freshwater",0.180521129299218,0.112219393206536,0.248822865391899,2.2167842460198e-07,23,"plastisphere"
"Pantoea agglomerans","Freshwater",0.107541518614398,0.0334857025032048,0.18159733472559,0.00442446978823171,24,"plastisphere"
"Legionella pneumophila","Freshwater",-0.39806031621478,-0.577237222389718,-0.218883410039842,1.3351360168471e-05,25,"ckenvironment"
"Stenotrophomonas maltophilia","Freshwater",0.120209458755468,0.0629074272595247,0.177511490251412,3.9283225355562e-05,26,"plastisphere"
"Acinetobacter baumannii","Freshwater",-0.170330202432066,-0.294638692602664,-0.0460217122614682,0.00724028762842803,27,"ckenvironment"
"Acinetobacter haemolyticus","Freshwater",0.130317994477879,0.0169523385575338,0.243683650398225,0.0242559494747384,28,"plastisphere"
"Acinetobacter lwoffii","Freshwater",-0.171938328912176,-0.272700799851291,-0.0711758579730602,0.000824521242208847,29,"ckenvironment"
"Providencia rettgeri","Freshwater",-0.581675261298652,-1.30764187802667,0.144291355429366,0.116320613141279,30,"none"
"Pseudomonas aeruginosa","Freshwater",0.0950678102606632,0.049519735168726,0.1406158853526,4.29830002845657e-05,31,"plastisphere"
"Pseudomonas fluorescens","Freshwater",0.062152668456935,0.0211760501570504,0.10312928675682,0.00295056767352321,32,"plastisphere"
"Pseudomonas putida","Freshwater",0.132346852663847,0.110226821434884,0.15446688389281,9.30100280683041e-32,33,"plastisphere"
"Vibrio cholerae","Freshwater",-0.307037989285469,-0.413392552243811,-0.200683426327127,1.52901696232567e-08,34,"ckenvironment"
"Vibrio furnissii","Freshwater",-0.25387401206569,-0.410884588731963,-0.0968634353994167,0.0015290607216213,35,"ckenvironment"
"Vibrio mimicus","Freshwater",0.110319863595714,-0.0158083400195114,0.236448067210939,0.0864716348169445,36,"none"
"Vibrio parahaemolyticus","Freshwater",-0.304946367277769,-0.560296872511368,-0.0495958620441701,0.0192506607535397,37,"ckenvironment"
"Vibrio vulnificus","Freshwater",0.035978367051919,-0.373216984182472,0.44517371828631,0.863178736907345,38,"none"
"Yersinia enterocolitica","Freshwater",-0.218811199740503,-0.301191674849573,-0.136430724631432,1.93089452857128e-07,39,"ckenvironment"
"Yersinia ruckeri","Freshwater",0.143880682883088,-0.000801965149454353,0.288563330915631,0.0512834777084868,40,"none"
"Aeromonas caviae","Marine",0.377343621616758,0.227779892197996,0.526907351035519,7.61771500742749e-07,1,"plastisphere"
"Aeromonas hydrophila","Marine",-0.153847505756914,-0.426901492982056,0.119206481468228,0.26945976353873,2,"none"
