"","Bacitracin","Beta_lactam","MLS","Quinolone","Vancomycin","Aminoglycoside","Polymyxin","Tetracycline","Rifamycin","Sulfonamide","Tetracenomycin_c"
"Aeromonas caviae",0.0928732398333333,0.0130241628282828,0.109619097282828,0.0672770554949495,0.440363077181818,NA,0.0102785408080808,0.0320678742444444,NA,0.0688383867373737,NA
"Aeromonas hydrophila",0.00655824308080808,0.00239248790909091,0.0348664789055556,NA,0.331592330321212,NA,NA,0.00354346257070707,NA,NA,NA
"Aeromonas salmonicida",0.355206060511111,NA,2.4005638853495,0.0309693593939394,0.0103261137171717,0.386062944383838,NA,0.0372999705414141,NA,NA,NA
"Aeromonas veronii",0.0965169696838384,0.0318171061161616,1.46693017910606,0.082428276040404,3.21413253491414,0.00368246634646465,0.134410557838384,0.00541404282828283,NA,NA,NA
"Achromobacter piechaudii",0.0209615935454545,0.00244061241414141,0.675993868787879,NA,NA,NA,NA,NA,NA,NA,NA
"Achromobacter xylosoxidans",0.0172818609767677,NA,0.629799926727273,NA,0.0211517417373737,NA,0.00264621608080808,NA,0.142257180505051,NA,NA
"Bacillus cereus",4.30233260078889,NA,1.9272300662502,NA,0.00263459346636364,NA,NA,NA,NA,NA,NA
"Burkholderia cepacia",0.0303281047757576,NA,0.115069904663636,NA,0.0618198144232323,NA,0.0228233065141414,NA,0.00204172995959596,0.00595564776767677,NA
"Ralstonia pickettii",0.245896617744444,0.0351154792505051,0.291091883625253,NA,0.148622770735354,0.00928482865656566,0.122594219343434,NA,0.0152972214343434,NA,0.00879489862626263
"Brevundimonas diminuta",0.818706749551919,0.0619439348448485,0.16636142540404,0.00495833469434343,0.362724559187475,0.031535763660101,0.0143536863459596,NA,NA,NA,NA
"Coxiella burnetii",0.614554042328283,0.447764959747172,0.447043560252222,NA,0.905892427868384,NA,NA,NA,NA,NA,NA
"Citrobacter amalonaticus",0.00222318620808081,NA,0.00568883342626263,NA,0.00222318620808081,NA,NA,NA,NA,NA,NA
