"","Bacitracin","Beta_lactam","MLS","Quinolone","Vancomycin","Aminoglycoside","Polymyxin","Tetracycline","Rifamycin","Sulfonamide","Tetracenomycin_c"
"Aeromonas caviae",0.131468164252874,0.0290842557385057,0.211925615779885,0.025387398637931,0.169254430518966,NA,0.00671374018390805,0.0361589806005747,NA,0.131336388931034,NA
"Aeromonas hydrophila",0.00757636862068966,0.00100126118218391,0.418401906342299,NA,0.166211313617241,NA,0.000722714775862069,0.00251718657413793,NA,NA,NA
"Aeromonas salmonicida",0.122607509514943,NA,0.49010225294023,0.0359365395287356,0.18951724288908,0.0066369467183908,NA,0.0889104618304598,NA,NA,NA
"Aeromonas veronii",0.465013565901724,0.159032313754023,0.759523453813908,0.0470906384729885,0.64529370305931,0.0223230919545977,0.0726379592534483,0.0741266517758621,NA,NA,NA
"Achromobacter piechaudii",0.320833282358621,0.0048017921,0.473088919506322,NA,0.00680459450344828,NA,NA,NA,NA,NA,NA
"Achromobacter xylosoxidans",0.950462672136207,1.13595350643103,1.7795404741908,NA,0.788396448421839,NA,0.0257672492270115,NA,0.00106630743678161,NA,NA
"Bacillus cereus",0.0020693181387931,NA,0.046498614311092,NA,0.00391241182293103,NA,NA,NA,NA,NA,NA
"Burkholderia cepacia",1.60645605441713,NA,1.40903492263782,NA,1.1868789915023,NA,0.540605865202011,NA,0.0229976206373563,0.0125040165229885,NA
"Ralstonia pickettii",6.46568121152356,1.00773436766379,9.58911731979408,NA,5.74995133992552,0.239942888966667,1.63733131061437,NA,0.693422333624138,NA,0.11664944345977
"Brevundimonas diminuta",0.93311680775546,0.259676748184483,1.03539443235793,0.0277551840233333,3.13766684503718,0.152360088580632,0.0726281699782184,NA,NA,NA,NA
"Coxiella burnetii",0.0893267263112644,0.0135331650525287,0.000988024765172414,NA,0.572230264170919,NA,NA,NA,NA,NA,NA
"Citrobacter amalonaticus",0.0783836637918391,NA,0.00325754543896552,NA,0.0781015304585057,NA,NA,NA,NA,NA,NA
"Citrobacter braakii",0.0514289184756897,NA,0.0847137237689655,NA,0.00122867106436782,NA,NA,NA,NA,NA,NA
"Citrobacter freundii",0.0895444615640805,0.0162049713222414,0.0548430805174138,NA,0.0887822574495977,0.00134482362701149,0.0152728356770115,0.00454249532873563,NA,NA,NA
"Citrobacter werkmanii",0.0076228978908046,0.0013166362191954,NA,NA,0.0013166362191954,NA,NA,NA,NA,NA,NA
"Enterobacter asburiae",0.0491845107281609,NA,0.403729143948276,NA,0.0709896851454023,NA,NA,0.00115597499885057,NA,NA,NA
"Enterobacter cancerogenus",0.0697383347261494,0.00148401180287356,0.00471926852482759,NA,0.602329105256322,NA,NA,NA,NA,NA,NA
"Enterobacter cloacae",0.0580383628511494,0.00201302214425287,5.44770718961379,NA,0.0145053907025287,NA,0.00191858662643678,NA,NA,NA,NA
"Escherichia coli",0.431392363893851,2.41204612881822,1.53996934055721,NA,1.41354052272284,0.934915211908046,0.361925417162011,0.27517378500977,NA,1.63335860033908,NA
"Klebsiella oxytoca",0.00372998836206897,NA,0.0302256484028736,NA,0.11258668631,0.000455363756321839,0.0622642281149425,NA,NA,NA,NA
"Klebsiella pneumoniae",0.160025083537759,0.00171546245856322,1.8093945156477,0.00114099243103448,0.378823193516494,0.0249931047856322,NA,0.0500390613494253,NA,NA,NA
"Salmonella enterica",40.399408583209,NA,39.7257782554977,NA,90.9808332396983,NA,5.63489267153391,NA,11.5152098699186,NA,NA
"Shigella flexneri",NA,NA,NA,NA,NA,NA,NA,0.157875189097701,NA,0.209105749637931,NA
"Pantoea agglomerans",0.0151097339011494,NA,0.208937059377011,NA,0.212995333898851,NA,0.000399423432758621,0.00155095471264368,NA,NA,NA
"Legionella pneumophila",0.000631673247126437,0.00502214419712644,0.00183161932183908,NA,0.00165190320344828,NA,NA,NA,NA,NA,NA
"Stenotrophomonas maltophilia",2.22760030269603,0.635886962596494,1.95621078590971,0.0142040618293103,1.39754682378362,0.032564500716092,0.388478979122414,NA,0.00689530504482759,NA,0.00251723701206897
"Acinetobacter baumannii",0.101187684568966,0.0537117655039655,0.0914351516247701,NA,0.261396375682931,0.0855070021954023,0.000243970974712644,0.139649685385057,NA,NA,NA
"Acinetobacter haemolyticus",0.0504418806433908,0.00387637225517241,0.287222413534483,NA,0.0126811523376437,NA,NA,NA,NA,NA,NA
"Acinetobacter lwoffii",0.202104694432414,0.159243422667644,0.202421664187931,0.364072463132759,0.213378524306897,NA,0.0167109066494253,NA,0.0139115062183908,0.0285897848925287,NA
"Providencia rettgeri",0.00118745417264368,0.00394121026436782,0.0687190566893103,NA,0.0670819090870115,0.00151004676321839,NA,NA,NA,NA,NA
"Pseudomonas aeruginosa",1.56136488889207,1.41865812094195,1.54246641847276,0.040207118808046,3.5251030041519,0.634584686737644,NA,0.00316457752850575,0.000926350494252874,0.86586193222069,NA
"Pseudomonas fluorescens",12.4211876809291,7.78815777961586,29.7257643644836,1.21646120903586,18.73324856821,0.044926116438046,1.64773118351954,0.0042871279504023,0.43493836997069,NA,NA
"Pseudomonas putida",1.92551542215103,0.486466106616609,4.06165986043828,0.00238716132183908,4.63811962048868,0.578457037055345,0.529373458403046,0.00301808551149425,0.00199562965172414,0.0760394052183908,NA
"Vibrio cholerae",0.0715673227872989,0.0366132514482759,0.0449778089043678,NA,0.135124391754023,0.0381185430663793,0.00017779417816092,NA,NA,NA,NA
"Vibrio furnissii",0.0334665759775862,0.0015770843091954,0.0113019762068966,NA,0.0783508365367816,NA,0.000943953275862069,NA,NA,NA,NA
"Vibrio mimicus",0.0180312972854598,0.014705026467069,0.111727911232184,NA,0.187137042709195,NA,NA,NA,NA,NA,NA
"Vibrio parahaemolyticus",0.0234737976772989,0.000366121988563218,0.0429393233162069,0.000987876873563218,0.302814119123851,NA,0.000267421583333333,0.0721088657241379,NA,NA,NA
"Vibrio vulnificus",0.0153706638243103,0.0431388987487356,0.406420646956092,NA,0.531360798316667,0.000184351730862069,0.0433420748541954,NA,NA,0.126968329321839,NA
"Yersinia enterocolitica",0.129215855378736,NA,0.00225818413390805,NA,0.00215406557494253,NA,NA,NA,NA,NA,NA
"Yersinia ruckeri",0.0661462641436782,NA,1.1891865849681,NA,0.319541437514655,NA,NA,NA,NA,NA,NA
