"from","to","color"
"MAG_1","MAG_135","Beta-lactam"
"MAG_2","MAG_3","Beta-lactam"
"MAG_2","MAG_136","Beta-lactam"
"MAG_3","MAG_4","Beta-lactam"
"MAG_3","MAG_5","Beta-lactam"
"MAG_3","MAG_6","Beta-lactam"
"MAG_3","MAG_7","Beta-lactam"
"MAG_4","MAG_136","Beta-lactam"
"MAG_5","MAG_136","Beta-lactam"
"MAG_6","MAG_136","Beta-lactam"
"MAG_7","MAG_136","Beta-lactam"
"MAG_8","MAG_137","Glycopeptide"
"MAG_9","MAG_137","Glycopeptide"
"MAG_10","MAG_11","Glycopeptide"
"MAG_11","MAG_138","Glycopeptide"
"MAG_12","MAG_14","Glycopeptide"
"MAG_12","MAG_84","Glycopeptide"
"MAG_12","MAG_86","Glycopeptide"
"MAG_12","MAG_85","Glycopeptide"
"MAG_13","MAG_14","Glycopeptide"
"MAG_13","MAG_84","Glycopeptide"
"MAG_13","MAG_86","Glycopeptide"
"MAG_13","MAG_85","Glycopeptide"
"MAG_14","MAG_15","Glycopeptide"
"MAG_15","MAG_84","Glycopeptide"
"MAG_15","MAG_86","Glycopeptide"
"MAG_15","MAG_85","Glycopeptide"
"MAG_16","MAG_139","Rifamycin"
"MAG_16","MAG_140","Rifamycin"
"MAG_17","MAG_20","Rifamycin"
"MAG_17","MAG_23","Rifamycin"
"MAG_17","MAG_24","Rifamycin"
"MAG_18","MAG_20","Rifamycin"
"MAG_18","MAG_23","Rifamycin"
"MAG_18","MAG_24","Rifamycin"
"MAG_19","MAG_20","Rifamycin"
"MAG_19","MAG_23","Rifamycin"
"MAG_19","MAG_24","Rifamycin"
"MAG_20","MAG_21","Rifamycin"
"MAG_20","MAG_22","Rifamycin"
"MAG_20","MAG_141","Rifamycin"
"MAG_20","MAG_142","Rifamycin"
"MAG_21","MAG_23","Rifamycin"
"MAG_21","MAG_24","Rifamycin"
"MAG_22","MAG_23","Rifamycin"
"MAG_22","MAG_24","Rifamycin"
"MAG_23","MAG_141","Rifamycin"
"MAG_23","MAG_142","Rifamycin"
"MAG_24","MAG_141","Rifamycin"
"MAG_24","MAG_142","Rifamycin"
"MAG_25","MAG_143","Aminoglycoside"
"MAG_26","MAG_27","Beta-lactam"
"MAG_26","MAG_144","Beta-lactam"
"MAG_27","MAG_28","Beta-lactam"
"MAG_28","MAG_144","Beta-lactam"
"MAG_29","MAG_120","Beta-lactam"
"MAG_30","MAG_145","Beta-lactam"
"MAG_31","MAG_146","Beta-lactam"
"MAG_32","MAG_48","Beta-lactam"
"MAG_33","MAG_147","Rifamycin"
"MAG_34","MAG_35","Beta-lactam"
"MAG_35","MAG_148","Beta-lactam"
"MAG_36","MAG_149","MLS"
"MAG_37","MAG_150","Polymyxin"
"MAG_38","MAG_150","Polymyxin"
"MAG_39","MAG_40","Rifamycin"
"MAG_40","MAG_151","Rifamycin"
"MAG_40","MAG_152","Rifamycin"
"MAG_40","MAG_153","Rifamycin"
"MAG_40","MAG_154","Rifamycin"
"MAG_40","MAG_155","Rifamycin"
"MAG_40","MAG_156","Rifamycin"
"MAG_41","MAG_157","Bacitracin"
"MAG_42","MAG_158","Glycopeptide"
"MAG_43","MAG_159","MLS"
