"name","type","shape"
"MAG_155","Pseudomonadota","Plastisphere"
"MAG_176","Pseudomonadota","Plastisphere"
"MAG_206","Cyanobacteriota","Plastisphere"
"MAG_61","Pseudomonadota","Plastisphere"
"MAG_137","Acidobacteriota","Surrounding water"
"MAG_129","Pseudomonadota","Plastisphere"
"MAG_215","Nitrospirota","Plastisphere"
"MAG_99","Cyanobacteriota","Surrounding water"
"MAG_29","Pseudomonadota","Plastisphere"
"MAG_68","Pseudomonadota","Plastisphere"
"MAG_46","Pseudomonadota","Plastisphere"
"MAG_90","Acidobacteriota","Plastisphere"
"MAG_162","Desulfobacterota","Plastisphere"
"MAG_199","Pseudomonadota","Natural biofilm"
"MAG_9","Acidobacteriota","Plastisphere"
"MAG_186","Pseudomonadota","Plastisphere"
"MAG_156","Pseudomonadota","Plastisphere"
"MAG_131","Nitrospirota","Natural biofilm"
"MAG_38","Bacteroidota","Plastisphere"
"MAG_95","Pseudomonadota","Surrounding water"
"MAG_185","Pseudomonadota","Plastisphere"
"MAG_10","Pseudomonadota","Plastisphere"
"MAG_80","Pseudomonadota","Plastisphere"
"MAG_79","Pseudomonadota","Surrounding water"
"MAG_45","Pseudomonadota","Natural biofilm"
"MAG_48","Pseudomonadota","Surrounding water"
"MAG_213","Bacteroidota","Surrounding water"
"MAG_134","Actinomycetota","Natural biofilm"
"MAG_150","Bacteroidota","Surrounding water"
"MAG_47","Pseudomonadota","Natural biofilm"
"MAG_102","Pseudomonadota","Natural biofilm"
"MAG_170","Pseudomonadota","Surrounding water"
"MAG_86","Pseudomonadota","Plastisphere"
"MAG_127","Pseudomonadota","Plastisphere"
"MAG_70","Bacillota","Plastisphere"
"MAG_195","Actinomycetota","Natural biofilm"
"MAG_124","Bacteroidota","Plastisphere"
"MAG_194","Bacteroidota","Plastisphere"
"MAG_35","Pseudomonadota","Surrounding water"
"MAG_85","Pseudomonadota","Plastisphere"
"MAG_65","Desulfobacterota","Surrounding water"
"MAG_31","Pseudomonadota","Plastisphere"
"MAG_89","Acidobacteriota","Surrounding water"
"MAG_136","Pseudomonadota","Surrounding water"
"MAG_190","Acidobacteriota","Plastisphere"
"MAG_188","Pseudomonadota","Surrounding water"
"MAG_141","Actinomycetota","Plastisphere"
"MAG_21","Actinomycetota","Plastisphere"
"MAG_51","Pseudomonadota","Plastisphere"
"MAG_210","Bacteroidota","Surrounding water"
"MAG_172","Pseudomonadota","Plastisphere"
"MAG_44","Pseudomonadota","Plastisphere"
"MAG_173","Desulfobacterota","Plastisphere"
"MAG_56","Pseudomonadota","Plastisphere"
"MAG_15","Pseudomonadota","Surrounding water"
"MAG_50","Desulfobacterota","Surrounding water"
"MAG_208","Pseudomonadota","Surrounding water"
"MAG_39","Pseudomonadota","Plastisphere"
"MAG_2","Pseudomonadota","Plastisphere"
"MAG_140","Pseudomonadota","Plastisphere"
"MAG_16","Pseudomonadota","Surrounding water"
"MAG_133","Pseudomonadota","Surrounding water"
"MAG_202","Pseudomonadota","Plastisphere"
"MAG_92","Pseudomonadota","Plastisphere"
"MAG_32","Pseudomonadota","Plastisphere"
"MAG_174","Desulfobacterota","Plastisphere"
"MAG_103","Pseudomonadota","Natural biofilm"
"MAG_108","Nitrospirota","Plastisphere"
"MAG_128","Pseudomonadota","Surrounding water"
"MAG_144","Pseudomonadota","Plastisphere"
"MAG_64","Desulfobacterota","Plastisphere"
"MAG_72","Pseudomonadota","Plastisphere"
"MAG_117","Actinomycetota","Plastisphere"
"MAG_126","Pseudomonadota","Plastisphere"
"MAG_25","Acidobacteriota","Natural biofilm"
"MAG_43","Pseudomonadota","Surrounding water"
"MAG_135","Pseudomonadota","Plastisphere"
"MAG_130","Bacteroidota","Plastisphere"
"MAG_41","Pseudomonadota","Plastisphere"
"MAG_211","Pseudomonadota","Surrounding water"
"MAG_107","Pseudomonadota","Plastisphere"
"MAG_125","Bacteroidota","Plastisphere"
"MAG_1","Pseudomonadota","Surrounding water"
"MAG_111","Verrucomicrobiota","Surrounding water"
"MAG_204","Verrucomicrobiota","Plastisphere"
"MAG_142","Actinomycetota","Plastisphere"
"MAG_203","Pseudomonadota","Plastisphere"
"MAG_37","Bacteroidota","Plastisphere"
"MAG_109","Patescibacteria","Surrounding water"
"MAG_121","Pseudomonadota","Surrounding water"
"MAG_93","Pseudomonadota","Plastisphere"
"MAG_28","Pseudomonadota","Surrounding water"
"MAG_158","Pseudomonadota","Surrounding water"
"MAG_167","Pseudomonadota","Surrounding water"
"MAG_23","Actinomycetota","Surrounding water"
"MAG_74","Pseudomonadota","Plastisphere"
"MAG_75","Pseudomonadota","Surrounding water"
"MAG_26","Pseudomonadota","Surrounding water"
"MAG_49","Acidobacteriota","Surrounding water"
"MAG_145","Pseudomonadota","Surrounding water"
"MAG_83","Pseudomonadota","Natural biofilm"
"MAG_63","Pseudomonadota","Surrounding water"
"MAG_98","Bacteroidota","Surrounding water"
"MAG_139","Pseudomonadota","Plastisphere"
"MAG_12","Pseudomonadota","Surrounding water"
"MAG_59","Bacillota_a","Surrounding water"
"MAG_36","Bacteroidota","Plastisphere"
"MAG_112","Pseudomonadota","Plastisphere"
"MAG_212","Pseudomonadota","Natural biofilm"
"MAG_104","Pseudomonadota","Plastisphere"
"MAG_3","Pseudomonadota","Surrounding water"
"MAG_52","Pseudomonadota","Plastisphere"
"MAG_205","Bacteroidota","Surrounding water"
"MAG_76","Pseudomonadota","Plastisphere"
"MAG_58","Pseudomonadota","Plastisphere"
"MAG_96","Actinomycetota","Natural biofilm"
"MAG_217","Nitrospirota","Natural biofilm"
"MAG_106","Pseudomonadota","Plastisphere"
"MAG_24","Actinomycetota","Surrounding water"
"MAG_67","Pseudomonadota","Natural biofilm"
"MAG_116","Actinomycetota","Plastisphere"
"MAG_148","Pseudomonadota","Plastisphere"
"MAG_191","Pseudomonadota","Surrounding water"
"MAG_73","Pseudomonadota","Surrounding water"
"MAG_171","Pseudomonadota","Surrounding water"
"MAG_192","Pseudomonadota","Surrounding water"
"MAG_120","Pseudomonadota","Natural biofilm"
"MAG_177","Bacillota","Surrounding water"
"MAG_132","Pseudomonadota","Plastisphere"
"MAG_71","Pseudomonadota","Plastisphere"
"MAG_97","Actinomycetota","Plastisphere"
"MAG_113","Bacteroidota","Surrounding water"
"MAG_94","Pseudomonadota","Surrounding water"
"MAG_189","Bacteroidota","Plastisphere"
"MAG_115","Cyanobacteriota","Surrounding water"
"MAG_193","Pseudomonadota","Plastisphere"
"MAG_122","Pseudomonadota","Surrounding water"
"MAG_149","Bacteroidota","Surrounding water"
"MAG_151","Pseudomonadota","Plastisphere"
"MAG_66","Pseudomonadota","Plastisphere"
"MAG_57","Pseudomonadota","Plastisphere"
"MAG_34","Pseudomonadota","Plastisphere"
"MAG_196","Bacteroidota","Plastisphere"
"MAG_14","Pseudomonadota","Plastisphere"
"MAG_22","Actinomycetota","Plastisphere"
"MAG_179","Pseudomonadota","Surrounding water"
"MAG_119","Pseudomonadota","Plastisphere"
"MAG_88","Acidobacteriota","Surrounding water"
"MAG_118","Pseudomonadota","Surrounding water"
"MAG_178","Pseudomonadota","Surrounding water"
"MAG_123","Bacteroidota","Plastisphere"
"MAG_77","Pseudomonadota","Surrounding water"
"MAG_163","Desulfobacterota","Plastisphere"
"MAG_62","Actinomycetota","Plastisphere"
"MAG_13","Pseudomonadota","Surrounding water"
"MAG_87","Bacteroidota","Natural biofilm"
"MAG_197","Cyanobacteriota","Plastisphere"
"MAG_54","Pseudomonadota","Plastisphere"
"MAG_100","Pseudomonadota","Plastisphere"
"MAG_181","Pseudomonadota","Surrounding water"
"MAG_182","Pseudomonadota","Surrounding water"
"MAG_164","Pseudomonadota","Plastisphere"
"MAG_8","Acidobacteriota","Plastisphere"
"MAG_166","Pseudomonadota","Surrounding water"
"MAG_91","Acidobacteriota","Surrounding water"
"MAG_110","Pseudomonadota","Surrounding water"
"MAG_60","Pseudomonadota","Plastisphere"
"MAG_161","Acidobacteriota","Plastisphere"
"MAG_105","Verrucomicrobiota","Plastisphere"
"MAG_180","Pseudomonadota","Surrounding water"
"MAG_82","Pseudomonadota","Surrounding water"
"MAG_42","Pseudomonadota","Plastisphere"
"MAG_175","Pseudomonadota","Plastisphere"
"MAG_209","Pseudomonadota","Plastisphere"
"MAG_157","Pseudomonadota","Surrounding water"
"MAG_30","Pseudomonadota","Plastisphere"
"MAG_5","Pseudomonadota","Plastisphere"
"MAG_40","Pseudomonadota","Natural biofilm"
"MAG_20","Actinomycetota","Surrounding water"
"MAG_146","Pseudomonadota","Surrounding water"
"MAG_184","Pseudomonadota","Surrounding water"
"MAG_11","Pseudomonadota","Surrounding water"
"MAG_18","Actinomycetota","Plastisphere"
"MAG_168","Bacillota_a","Plastisphere"
"MAG_33","Pseudomonadota","Natural biofilm"
"MAG_187","Pseudomonadota","Plastisphere"
"MAG_101","Pseudomonadota","Plastisphere"
"MAG_153","Pseudomonadota","Plastisphere"
"MAG_165","Pseudomonadota","Surrounding water"
"MAG_198","Cyanobacteriota","Plastisphere"
"MAG_6","Pseudomonadota","Plastisphere"
"MAG_27","Pseudomonadota","Plastisphere"
"MAG_183","Pseudomonadota","Surrounding water"
"MAG_154","Pseudomonadota","Plastisphere"
"MAG_159","Pseudomonadota","Plastisphere"
"MAG_152","Pseudomonadota","Plastisphere"
"MAG_200","Pseudomonadota","Plastisphere"
"MAG_138","Pseudomonadota","Plastisphere"
"MAG_143","Acidobacteriota","Plastisphere"
"MAG_19","Actinomycetota","Plastisphere"
"MAG_7","Pseudomonadota","Plastisphere"
"MAG_53","Pseudomonadota","Surrounding water"
"MAG_216","Pseudomonadota","Plastisphere"
"MAG_69","Pseudomonadota","Surrounding water"
"MAG_201","Pseudomonadota","Plastisphere"
"MAG_114","Bacteroidota","Plastisphere"
