"","Freshwater","Marine"
"Total",1.34964221252466,1.31672501291149
"Quinolone",101.261502758845,1.09205696735164
"Polymyxin",2.36354007894291,2.68371201824663
"Beta-lactam",1.86308988080837,0.830711668073871
"Bacitracin",1.04527401128063,0.988716306986201
"Aminoglycoside",0.744241799476942,6.23082158017772
"Vancomycin",2.9339446077942,1.56060058487624
"Rifamycin",1.72681691203041,4.13361615242459
"Sulfonamide",0.062244852079828,4.67672128120765
"MLS",1.18072029158975,1.68381457172576
"Tetracenomycin_C",7.37585713444234,2.53914874568919
"Tetracycline",1.15094084314442,14.010605528205
