"","Freshwater","Marine"
"Total",0.688333812992057,3.27810989015095
"Quinolone",Inf,Inf
"Polymyxin",Inf,4.3827513332752
"Beta-lactam",6.7160986603376,1.78579279406686
"Bacitracin",0.746589654750559,3.56676285266891
"Aminoglycoside",0.0280926662668942,2.04638008133549
"Vancomycin",3.43801038168024,2.79195698012247
"Rifamycin",0.48300477015144,2.07664054994905
"Sulfonamide",0.0128934655241851,1.9766316255792
"MLS",0.547817397938821,3.58609620434383
"Tetracenomycin_C",Inf,Inf
"Tetracycline",Inf,Inf
