"group","Genome_Size"
"env",3.116578
"env",2.294798
"env",2.443152
"env",3.419899
"env",5.56018
"env",3.220002
"env",2.650385
"plas",3.509464
"env",1.183369
"env",3.137098
"env",3.193637
"env",1.911524
"plas",3.400111
"env",4.097222
"env",4.092627
"env",4.812226
"env",2.2623
"plas",3.771068
"env",3.710475
"env",3.89818
"env",4.519331
"plas",6.625602
"plas",4.446423
"plas",4.714257
"env",2.490656
"env",3.980365
"env",3.14146
"env",2.960118
"env",6.405669
"plas",9.41421
"env",3.619917
"env",4.195101
"env",2.697359
"env",4.952898
"env",4.360705
"env",3.081534
"env",3.5261
"env",2.816987
"env",2.952046
"plas",3.192958
"plas",3.291154
"plas",2.632625
"plas",4.047904
"plas",4.931949
"plas",3.518006
"plas",3.438269
"plas",3.68296
"plas",3.853059
"plas",5.03886
"plas",3.912805
"plas",2.818174
"env",2.196309
"plas",3.480524
"env",2.216664
"env",2.962765
"plas",2.735768
"plas",5.971604
"plas",8.90005
"env",2.37481
"env",2.288574
"env",5.794795
"env",3.044243
"plas",8.053021
"env",2.248311
"plas",3.673823
"env",5.293629
"env",2.914325
"plas",4.508822
"env",6.143923
"env",1.852919
"plas",2.775023
"plas",3.521057
"env",2.248177
"plas",7.008956
"env",3.044346
"env",3.507081
"env",3.935976
"plas",7.420678
"env",3.981504
"plas",4.713446
"plas",4.697917
"env",3.898039
"env",2.796777
"plas",3.263602
"env",4.774597
"env",2.743045
"env",2.885728
"env",3.805168
"env",6.008284
"env",2.388646
"plas",3.215184
"env",3.114615
"plas",2.996709
"env",7.57205
"plas",3.054216
"env",4.101327
"env",3.98997
"env",3.964995
"env",2.074973
"env",3.979719
"env",2.749153
"env",3.067889
"env",4.652388
"plas",7.548268
"env",2.545519
"env",6.928499
"env",4.373308
"env",2.901422
"env",4.631323
"env",3.918823
"env",3.431912
"env",5.653031
"env",4.231743
"env",2.085366
"env",7.455032
"env",3.969696
"env",3.52144
"env",2.626476
"env",4.509319
"env",2.210663
"env",2.845152
"env",2.29764
"env",3.963657
"env",2.312877
"plas",2.387844
"env",1.047149
"env",5.591398
"env",2.231803
"env",6.305337
"env",2.754684
"plas",4.421878
"env",2.726076
"plas",2.927241
"plas",2.802822
"plas",2.920852
"env",2.537947
"env",2.344957
"env",1.960788
"plas",3.836192
"env",3.985072
"env",3.631749
"plas",3.514135
"plas",4.869623
"env",3.727
"env",3.822827
"plas",2.624328
"env",2.03201
"plas",4.66334
"plas",4.236206
"plas",4.034078
"plas",4.930671
"plas",3.902454
"plas",3.763978
"plas",3.425163
"plas",1.991473
"plas",2.247975
"plas",4.010055
"plas",3.133901
"plas",4.12264
"env",3.195209
"plas",3.439347
"plas",5.447862
"plas",4.049045
"env",2.778215
"env",3.958043
"env",3.795374
"env",3.816227
"plas",2.849666
"plas",2.767938
"env",3.837291
"plas",4.789166
"plas",6.107809
"plas",5.730984
"plas",2.772961
"plas",4.716632
"env",3.203676
"plas",3.324359
"env",2.334821
"plas",3.762741
"env",1.455084
"env",3.845712
"env",3.216294
"env",2.043728
"env",3.091395
"plas",3.406072
"env",3.110887
"env",6.815537
"env",4.444374
"env",2.999092
"env",6.262124
"env",2.512433
"env",5.014734
"env",3.716729
"env",3.131381
"env",3.321298
"env",2.411766
"env",5.825431
"env",5.553631
"env",4.460418
"env",4.741434
"env",2.287409
"plas",3.590999
"env",4.429599
"env",5.396077
"env",2.771587
"env",2.280308
"env",4.357204
"env",3.788282
"env",4.957927
"env",4.44256
"env",5.095254
"env",2.963126
"env",1.788461
"env",3.126282
"env",3.071444
"env",1.573636
"env",5.69798
"plas",2.955352
"plas",2.735541
"plas",9.254004
"env",1.430167
"plas",4.715807
"env",0.97393
"plas",4.470478
"env",3.898262
"plas",5.976839
"env",5.808982
"env",3.741565
"env",4.036955
"env",1.880763
"env",3.305776
"plas",6.586692
"plas",4.217776
"plas",3.207369
"plas",3.146091
"env",1.699494
"plas",3.428152
"plas",4.169917
"plas",3.257898
