"group","GC"
"env",38.63
"env",41.54
"env",44.65
"env",41.68
"env",56.29
"env",49.19
"env",50.11
"plas",54.67
"env",36.61
"env",50.43
"env",43.44
"env",44.82
"plas",44.77
"env",48.67
"env",38.9
"env",36.77
"env",40.98
"plas",51.51
"env",40.01
"env",59.1
"env",46.98
"plas",53.6
"plas",61.39
"plas",45.68
"env",47.19
"env",39.08
"env",60.59
"env",47.35
"env",49.36
"plas",74.33
"env",55.95
"env",54.63
"env",48.12
"env",57.83
"env",63.34
"env",57.86
"env",50.27
"env",31.93
"env",60.79
"plas",63.72
"plas",63.71
"plas",63.67
"plas",53.01
"plas",54.42
"plas",55.92
"plas",54.58
"plas",54.14
"plas",66.22
"plas",64.24
"plas",64.4
"plas",56.97
"env",55.23
"plas",64.44
"env",63.62
"env",65.51
"plas",63.14
"plas",66.21
"plas",73.32
"env",64.62
"env",72.07
"env",66.54
"env",72.31
"plas",71.71
"env",70.09
"plas",65.36
"env",51.69
"env",63.88
"plas",63.42
"env",60.6
"env",58.09
"plas",69.12
"plas",68.15
"env",54.32
"plas",65.42
"env",61.23
"env",64.19
"env",65.7
"plas",67.99
"env",65.71
"plas",65.91
"plas",68.08
"env",62.85
"env",62.76
"plas",67.74
"env",59.83
"env",34.74
"env",34.22
"env",46.47
"env",41.91
"env",45.95
"plas",38.71
"env",38.65
"plas",44.51
"env",54.02
"plas",53.26
"env",44.69
"env",37.33
"env",34.04
"env",36.21
"env",37.33
"env",33.2
"env",34.22
"env",46.33
"plas",46.52
"env",38.53
"env",44.55
"env",35.72
"env",36.09
"env",39.19
"env",37.89
"env",27.35
"env",42.79
"env",47.87
"env",54.92
"env",54.29
"env",30.26
"env",60.01
"env",42.06
"env",46.05
"env",43.84
"env",51.29
"env",41.6
"env",42.01
"env",38.88
"plas",47.66
"env",38.91
"env",44.35
"env",42.45
"env",60.27
"env",47.07
"plas",55.5
"env",59.41
"plas",54.36
"plas",54.45
"plas",54.47
"env",45.38
"env",48.88
"env",64.33
"plas",66.34
"env",41.28
"env",49.67
"plas",58.09
"plas",54.68
"env",45.06
"env",56.01
"plas",65.01
"env",52.17
"plas",56.23
"plas",55.89
"plas",64.92
"plas",64.5
"plas",65.96
"plas",64.41
"plas",56.06
"plas",58.18
"plas",55.31
"plas",65.94
"plas",65.51
"plas",53.8
"env",58.36
"plas",68.02
"plas",69.3
"plas",73.13
"env",69.97
"env",73.44
"env",74.24
"env",69.15
"plas",63.66
"plas",66.23
"env",59.96
"plas",65.56
"plas",66.94
"plas",67.58
"plas",71.52
"plas",68.88
"env",62.14
"plas",62.02
"env",68.56
"plas",49.17
"env",37.25
"env",42.48
"env",40.15
"env",44.57
"env",38.81
"plas",57.88
"env",31.45
"env",44.77
"env",41.62
"env",41.19
"env",39.34
"env",40.26
"env",42.11
"env",36.83
"env",32.69
"env",35.75
"env",37.94
"env",35.28
"env",55.61
"env",39.67
"env",40.09
"env",60.27
"plas",66.48
"env",61.82
"env",50.52
"env",40.13
"env",46.54
"env",39.09
"env",39.32
"env",37.85
"env",44.03
"env",47.03
"env",42.86
"env",40.05
"env",52.32
"env",49.79
"env",41.78
"env",55.9
"plas",54.29
"plas",66.46
"plas",54.91
"env",41.69
"plas",51.09
"env",41.43
"plas",56.76
"env",52.09
"plas",51.76
"env",59.58
"env",66.72
"env",67.93
"env",51.49
"env",62.02
"plas",61.68
"plas",58.62
"plas",59.79
"plas",63.78
"env",51.16
"plas",55.76
"plas",54.23
"plas",53.11
"plas",61.02
"plas",58.92
"plas",63.32
"plas",62.69
"plas",62
"env",56.36
"plas",63.39
"env",56.41
"plas",65.18
"plas",60.96
"plas",63.29
"plas",61.63
"plas",61.2
"plas",61.75
"plas",63.06
"plas",59.9
"plas",66.25
"env",63.17
"plas",67.06
"plas",72.07
"env",73.38
"plas",62.85
"plas",67.74
"plas",61.73
"plas",65.08
"env",48.6
"plas",66.62
"plas",64.05
"plas",61.11
"plas",61.72
"env",56.01
"env",65.83
"plas",66.96
"plas",71.83
"plas",68.13
"plas",70.72
"env",70.39
"plas",66.38
"env",41.17
"env",41.08
"plas",63.99
"env",37.67
"env",38.1
"plas",50.32
"env",31.06
"plas",48.6
"plas",45.23
"env",45.95
"env",41.75
"env",44.88
"env",42.02
"env",40.89
"plas",61.75
"plas",61.03
"env",31.25
"env",37.65
"env",36.42
"env",35.98
"env",32.02
"env",42.02
"env",40.89
"env",40.73
"env",27.63
"env",46.15
"env",45.74
"plas",50.44
"env",67.34
"env",39.46
"env",45.13
"plas",54.89
"env",45.35
"env",58.33
"env",62.22
"env",48.9
"env",63.42
"env",38.5
"plas",52.06
"env",46
"env",49.54
"env",45.67
"env",50.66
"env",48.49
"env",48.67
"env",47.84
"plas",54.76
"env",60.44
"plas",52.26
"plas",71.86
"plas",56.11
"plas",56.02
"env",47.65
"env",64.12
"env",41.7
"env",42.35
"env",48.45
"env",64.44
"plas",56.04
"env",61.26
"plas",69.77
"plas",59.75
"env",48.84
"plas",61.41
"plas",57.6
"env",60.3
"env",44.2
"plas",56.13
"plas",54.04
"plas",59.68
"plas",65.12
"plas",66.04
"plas",63.79
"plas",56.44
"plas",57.16
"plas",56.52
"plas",59.7
"env",54.9
"plas",59.23
"plas",63.17
"plas",64.45
"plas",66.16
"env",62.76
"plas",66.64
"env",69.11
"env",58.83
"plas",67.86
"env",66.38
"env",73.47
"plas",62.25
"plas",65.39
"plas",67.03
"env",66.8
"env",65.05
"plas",67.41
"plas",67.59
"env",56.31
"env",68.13
"plas",49.16
"env",56.4
"env",43.26
"env",46.53
"env",43.47
"env",31.71
"env",40.07
"plas",48.35
"env",47.2
"env",33.76
"env",37.98
"env",34.05
"env",34.09
"env",36.78
"env",34.01
"env",33.07
"env",51.78
"env",40.47
"env",27.15
"env",27.49
"env",54.69
"env",68.42
"env",37.15
"env",45.81
"env",43.97
"env",61.68
"plas",67.88
"env",46.2
"env",51.34
"env",52.38
"env",35.05
"plas",47.57
"env",47.72
"env",38.35
"env",46.46
"env",45.12
"plas",59.59
"plas",51.58
"plas",51.1
"env",55.31
"env",64.68
"env",53.09
"env",37
"env",36.86
"plas",55.42
"env",58.85
"plas",68.9
"env",49.7
"env",63.44
"env",40.6
"plas",64.83
"plas",59.67
"plas",57.47
"plas",59.92
"plas",62.62
"plas",60.21
"plas",58.2
"env",52.05
"plas",53.6
"plas",57.82
"plas",54.49
"plas",54.89
"plas",63.57
"plas",67.14
"plas",59.5
"plas",62.2
"plas",49.13
"plas",52.94
"plas",60.39
"plas",62.58
"plas",66.93
"plas",67.75
"plas",66.45
"plas",66.89
"plas",66.78
"plas",64.63
"plas",64.64
"plas",64.38
"plas",63.24
"env",69.48
"env",70.69
"env",73.22
"plas",68.26
"plas",57.69
"plas",70.14
"plas",67.58
"plas",64.76
"plas",65.48
"env",52.07
"plas",66.4
"plas",65.24
"plas",70.58
"env",60.17
"env",58.94
"plas",68.69
"plas",67.66
"plas",66.65
"plas",66.17
"plas",69.48
"plas",69.41
"env",62.36
"env",40.64
"plas",49.03
"env",57.95
"env",50.59
"env",41.44
"env",52.81
"env",44.17
"env",36.06
"plas",51.79
"plas",51.92
"env",44.68
"plas",58.28
"env",47.73
"env",32.68
"env",37.85
"env",33.69
"env",30.75
"env",36.98
"env",42.42
"env",33.75
"env",36.64
"env",36.28
"plas",44.92
"env",44.68
"env",42.44
"env",36.61
"env",44.85
"env",31.94
"env",28.1
"plas",46.69
"env",39.51
"env",43.68
"plas",56.21
"env",55.15
"env",46.9
"env",36.6
"env",62.4
